BkNo	Year	Day	hh	mm	ss	mss	ns	Azimuth(deg)	Elevation(deg	)Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
20	2016	240	17	8	9	0	0	160.93	8.12	0	0	f8	f0	8	4	4	2914	1	0
21	2016	240	17	8	10	0	0	160.9	8.21	0	0	f8	f0	8	4	4	2915	1	0
21	2016	240	17	8	11	0	0	160.9	8.29	0	0	f8	f0	8	4	4	2915	1	0
21	2016	240	17	8	12	0	0	160.89	8.38	0	0	f8	f0	8	4	4	2915	1	0
21	2016	240	17	8	13	0	0	160.85	8.47	0	0	f8	f0	8	4	4	2915	1	0
21	2016	240	17	8	14	0	0	160.83	8.55	0	0	f8	f0	8	4	4	2915	1	0
21	2016	240	17	8	15	0	0	160.83	8.63	0	0	f8	f0	8	4	4	2915	1	0
21	2016	240	17	8	16	0	0	160.83	8.71	0	0	f8	f0	8	4	4	2915	1	0
21	2016	240	17	8	17	0	0	160.83	8.79	0	0	f8	f0	8	4	4	2915	1	0
21	2016	240	17	8	18	0	0	160.77	8.87	0	0	f8	f0	8	4	4	2915	1	0
21	2016	240	17	8	19	0	0	160.75	8.95	0	0	f8	f0	8	4	4	2915	1	0
22	2016	240	17	8	20	0	0	160.72	9.04	0	0	f8	f0	8	4	4	2916	1	0
22	2016	240	17	8	21	0	0	160.69	9.13	0	0	f8	f0	8	4	4	2916	1	0
22	2016	240	17	8	22	0	0	160.69	9.21	0	0	f8	f0	8	4	4	2916	1	0
22	2016	240	17	8	23	0	0	160.69	9.29	0	0	f8	f0	8	4	4	2916	1	0
22	2016	240	17	8	24	0	0	160.67	9.37	0	0	f8	f0	8	4	4	2916	1	0
22	2016	240	17	8	25	0	0	160.61	9.45	0	0	f8	f0	8	4	4	2916	1	0
22	2016	240	17	8	26	0	0	160.61	9.52	0	0	f8	f0	8	4	4	2916	1	0
22	2016	240	17	8	27	0	0	160.61	9.6	0	0	f8	f0	8	4	4	2916	1	0
22	2016	240	17	8	28	0	0	160.56	9.68	0	0	f8	f0	8	4	4	2916	1	0
22	2016	240	17	8	29	0	0	160.54	9.77	0	0	f8	f0	8	4	4	2916	1	0
23	2016	240	17	8	30	0	0	160.53	9.87	0	0	f8	f0	8	4	4	2917	1	0
23	2016	240	17	8	31	0	0	160.52	9.97	0	0	f8	f0	8	4	4	2917	1	0
23	2016	240	17	8	32	0	0	160.48	10.05	0	0	f8	f0	8	4	4	2917	1	0
23	2016	240	17	8	33	0	0	160.48	10.15	0	0	f8	f0	8	4	4	2917	1	0
23	2016	240	17	8	34	0	0	160.45	10.22	0	0	f8	f0	8	4	4	2917	1	0
23	2016	240	17	8	35	0	0	160.41	10.31	0	0	f8	f0	8	4	4	2917	1	0
23	2016	240	17	8	36	0	0	160.4	10.38	0	0	f8	f0	8	4	4	2917	1	0
23	2016	240	17	8	37	0	0	160.38	10.46	0	0	f8	f0	8	4	4	2917	1	0
23	2016	240	17	8	38	0	0	160.34	10.55	0	0	f8	f0	8	4	4	2917	1	0
23	2016	240	17	8	39	0	0	160.33	10.64	0	0	f8	f0	8	4	4	2917	1	0
24	2016	240	17	8	40	0	0	160.33	10.73	0	0	f8	f0	8	4	4	2918	1	0
24	2016	240	17	8	41	0	0	160.33	10.81	0	0	f8	f0	8	4	4	2918	1	0
24	2016	240	17	8	42	0	0	160.28	10.91	0	0	f8	f0	8	4	4	2918	1	0
24	2016	240	17	8	43	0	0	160.26	11	0	0	f8	f0	8	4	4	2918	1	0
24	2016	240	17	8	44	0	0	160.23	11.09	0	0	f8	f0	8	4	4	2918	1	0
24	2016	240	17	8	45	0	0	160.2	11.18	0	0	f8	f0	8	4	4	2918	1	0
24	2016	240	17	8	46	0	0	160.18	11.28	0	0	f8	f0	8	4	4	2918	1	0
24	2016	240	17	8	47	0	0	160.15	11.37	0	0	f8	f0	8	4	4	2918	1	0
24	2016	240	17	8	48	0	0	160.15	11.46	0	0	f8	f0	8	4	4	2918	1	0
24	2016	240	17	8	49	0	0	160.13	11.55	0	0	f8	f0	8	4	4	2918	1	0
25	2016	240	17	8	50	0	0	160.09	11.64	0	0	f8	f0	8	4	4	2919	1	0
25	2016	240	17	8	51	0	0	160.09	11.74	0	0	f8	f0	8	4	4	2919	1	0
25	2016	240	17	8	52	0	0	160.05	11.82	0	0	f8	f0	8	4	4	2919	1	0
25	2016	240	17	8	53	0	0	160.02	11.91	0	0	f8	f0	8	4	4	2919	1	0
25	2016	240	17	8	54	0	0	160	12.02	0	0	f8	f0	8	4	4	2919	1	0
25	2016	240	17	8	55	0	0	159.99	12.11	0	0	f8	f0	8	4	4	2919	1	0
25	2016	240	17	8	56	0	0	159.95	12.2	0	0	f8	f0	8	4	4	2919	1	0
25	2016	240	17	8	57	0	0	159.94	12.3	0	0	f8	f0	8	4	4	2919	1	0
25	2016	240	17	8	58	0	0	159.93	12.4	0	0	f8	f0	8	4	4	2919	1	0
25	2016	240	17	8	59	0	0	159.88	12.49	0	0	f8	f0	8	4	4	2919	1	0
26	2016	240	17	9	0	0	0	159.86	12.58	0	0	f8	f0	8	4	4	291a	1	0
26	2016	240	17	9	1	0	0	159.83	12.68	0	0	f8	f0	8	4	4	291a	1	0
26	2016	240	17	9	2	0	0	159.81	12.77	0	0	f8	f0	8	4	4	291a	1	0
26	2016	240	17	9	3	0	0	159.8	12.87	0	0	f8	f0	8	4	4	291a	1	0
26	2016	240	17	9	4	0	0	159.76	12.97	0	0	f8	f0	8	4	4	291a	1	0
26	2016	240	17	9	5	0	0	159.73	13.06	0	0	f8	f0	8	4	4	291a	1	0
26	2016	240	17	9	6	0	0	159.72	13.17	0	0	f8	f0	8	4	4	291a	1	0
26	2016	240	17	9	7	0	0	159.68	13.26	0	0	f8	f0	8	4	4	291a	1	0
26	2016	240	17	9	8	0	0	159.65	13.36	0	0	f8	f0	8	4	4	291a	1	0
26	2016	240	17	9	9	0	0	159.64	13.46	0	0	f8	f0	8	4	4	291a	1	0
27	2016	240	17	9	10	0	0	159.6	13.56	0	0	f8	f0	8	4	4	291b	1	0
27	2016	240	17	9	11	0	0	159.59	13.66	0	0	f8	f0	8	4	4	291b	1	0
27	2016	240	17	9	12	0	0	159.56	13.76	0	0	f8	f0	8	4	4	291b	1	0
27	2016	240	17	9	13	0	0	159.51	13.86	0	0	f8	f0	8	4	4	291b	1	0
27	2016	240	17	9	14	0	0	159.5	13.96	0	0	f8	f0	8	4	4	291b	1	0
27	2016	240	17	9	15	0	0	159.46	14.06	0	0	f8	f0	8	4	4	291b	1	0
27	2016	240	17	9	16	0	0	159.45	14.16	0	0	f8	f0	8	4	4	291b	1	0
27	2016	240	17	9	17	0	0	159.42	14.27	0	0	f8	f0	8	4	4	291b	1	0
27	2016	240	17	9	18	0	0	159.39	14.37	0	0	f8	f0	8	4	4	291b	1	0
27	2016	240	17	9	19	0	0	159.37	14.47	0	0	f8	f0	8	4	4	291b	1	0
28	2016	240	17	9	20	0	0	159.32	14.59	0	0	f8	f0	8	4	4	291c	1	0
28	2016	240	17	9	21	0	0	159.3	14.7	0	0	f8	f0	8	4	4	291c	1	0
28	2016	240	17	9	22	0	0	159.28	14.8	0	0	f8	f0	8	4	4	291c	1	0
28	2016	240	17	9	23	0	0	159.25	14.91	0	0	f8	f0	8	4	4	291c	1	0
28	2016	240	17	9	24	0	0	159.24	15.02	0	0	f8	f0	8	4	4	291c	1	0
28	2016	240	17	9	25	0	0	159.18	15.13	0	0	f8	f0	8	4	4	291c	1	0
28	2016	240	17	9	26	0	0	159.16	15.24	0	0	f8	f0	8	4	4	291c	1	0
28	2016	240	17	9	27	0	0	159.12	15.35	0	0	f8	f0	8	4	4	291c	1	0
28	2016	240	17	9	28	0	0	159.1	15.46	0	0	f8	f0	8	4	4	291c	1	0
28	2016	240	17	9	29	0	0	159.06	15.56	0	0	f8	f0	8	4	4	291c	1	0
29	2016	240	17	9	30	0	0	159.04	15.67	0	0	f8	f0	8	4	4	291d	1	0
29	2016	240	17	9	31	0	0	159.01	15.77	0	0	f8	f0	8	4	4	291d	1	0
29	2016	240	17	9	32	0	0	158.97	15.88	0	0	f8	f0	8	4	4	291d	1	0
