BkNo	Year	Day	hh	mm	ss	mss	ns	Range (km)	RangCalib(km)	Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
21	2016	240	17	11	1	751	0	1476.221234	0	0	0	f8	f0	8	4	1	15	1	1
21	2016	240	17	11	2	751	0	1470.47796	0	0	0	f8	f0	8	4	1	15	1	1
21	2016	240	17	11	3	751	0	1464.746827	0	0	0	f8	f0	8	4	1	15	1	1
21	2016	240	17	11	4	751	0	1459.026637	0	0	0	f8	f0	8	4	1	15	1	1
21	2016	240	17	11	5	751	0	1453.318889	0	0	0	f8	f0	8	4	1	15	1	1
21	2016	240	17	11	6	751	0	1447.622232	0	0	0	f8	f0	8	4	1	15	1	1
21	2016	240	17	11	7	751	0	1441.937868	0	0	0	f8	f0	8	4	1	15	1	1
21	2016	240	17	11	8	751	0	1436.265644	0	0	0	f8	f0	8	4	1	15	1	1
21	2016	240	17	11	9	751	0	1430.605413	0	0	0	f8	f0	8	4	1	15	1	1
22	2016	240	17	11	10	751	0	1424.957023	0	0	0	f8	f0	8	4	1	16	1	1
22	2016	240	17	11	11	751	0	1419.321075	0	0	0	f8	f0	8	4	1	16	1	1
22	2016	240	17	11	12	751	0	1413.698018	0	0	0	f8	f0	8	4	1	16	1	1
22	2016	240	17	11	13	751	0	1408.088751	0	0	0	f8	f0	8	4	1	16	1	1
22	2016	240	17	11	14	751	0	1402.491026	0	0	0	f8	f0	8	4	1	16	1	1
22	2016	240	17	11	15	751	0	1396.907092	0	0	0	f8	f0	8	4	1	16	1	1
22	2016	240	17	11	16	751	0	1391.336498	0	0	0	f8	f0	8	4	1	16	1	1
22	2016	240	17	11	17	751	0	1385.778796	0	0	0	f8	f0	8	4	1	16	1	1
22	2016	240	17	11	18	751	0	1380.233984	0	0	0	f8	f0	8	4	1	16	1	1
22	2016	240	17	11	19	751	0	1374.704762	0	0	0	f8	f0	8	4	1	16	1	1
23	2016	240	17	11	20	751	0	1369.188581	0	0	0	f8	f0	8	4	1	17	1	1
23	2016	240	17	11	21	751	0	1363.687089	0	0	0	f8	f0	8	4	1	17	1	1
23	2016	240	17	11	22	751	0	1358.199239	0	0	0	f8	f0	8	4	1	17	1	1
23	2016	240	17	11	23	751	0	1352.726078	0	0	0	f8	f0	8	4	1	17	1	1
23	2016	240	17	11	24	751	0	1347.267906	0	0	0	f8	f0	8	4	1	17	1	1
23	2016	240	17	11	25	751	0	1341.824425	0	0	0	f8	f0	8	4	1	17	1	1
23	2016	240	17	11	26	751	0	1336.395783	0	0	0	f8	f0	8	4	1	17	1	1
23	2016	240	17	11	27	751	0	1330.981831	0	0	0	f8	f0	8	4	1	17	1	1
23	2016	240	17	11	28	751	0	1325.584667	0	0	0	f8	f0	8	4	1	17	1	1
23	2016	240	17	11	29	751	0	1320.202343	0	0	0	f8	f0	8	4	1	17	1	1
24	2016	240	17	11	30	751	0	1314.835459	0	0	0	f8	f0	8	4	1	18	1	1
24	2016	240	17	11	31	751	0	1309.485662	0	0	0	f8	f0	8	4	1	18	1	1
24	2016	240	17	11	32	751	0	1304.150856	0	0	0	f8	f0	8	4	1	18	1	1
24	2016	240	17	11	33	751	0	1298.833587	0	0	0	f8	f0	8	4	1	18	1	1
24	2016	240	17	11	34	751	0	1293.531907	0	0	0	f8	f0	8	4	1	18	1	1
24	2016	240	17	11	35	751	0	1288.247315	0	0	0	f8	f0	8	4	1	18	1	1
24	2016	240	17	11	36	751	0	1282.981011	0	0	0	f8	f0	8	4	1	18	1	1
24	2016	240	17	11	37	751	0	1277.731195	0	0	0	f8	f0	8	4	1	18	1	1
24	2016	240	17	11	38	751	0	1272.498318	0	0	0	f8	f0	8	4	1	18	1	1
24	2016	240	17	11	39	751	0	1267.284028	0	0	0	f8	f0	8	4	1	18	1	1
25	2016	240	17	11	40	751	0	1262.087725	0	0	0	f8	f0	8	4	1	19	1	1
25	2016	240	17	11	41	751	0	1256.90911	0	0	0	f8	f0	8	4	1	19	1	1
25	2016	240	17	11	42	751	0	1251.749232	0	0	0	f8	f0	8	4	1	19	1	1
25	2016	240	17	11	43	751	0	1246.608691	0	0	0	f8	f0	8	4	1	19	1	1
25	2016	240	17	11	44	751	0	1241.486137	0	0	0	f8	f0	8	4	1	19	1	1
25	2016	240	17	11	45	751	0	1236.38292	0	0	0	f8	f0	8	4	1	19	1	1
25	2016	240	17	11	46	751	0	1231.29919	0	0	0	f8	f0	8	4	1	19	1	1
25	2016	240	17	11	47	751	0	1226.234796	0	0	0	f8	f0	8	4	1	19	1	1
25	2016	240	17	11	48	751	0	1221.190188	0	0	0	f8	f0	8	4	1	19	1	1
25	2016	240	17	11	49	751	0	1216.166566	0	0	0	f8	f0	8	4	1	19	1	1
26	2016	240	17	11	50	751	0	1211.16258	0	0	0	f8	f0	8	4	1	001a	1	1
26	2016	240	17	11	51	751	0	1206.17898	0	0	0	f8	f0	8	4	1	001a	1	1
26	2016	240	17	11	52	751	0	1201.216665	0	0	0	f8	f0	8	4	1	001a	1	1
26	2016	240	17	11	53	751	0	1196.275336	0	0	0	f8	f0	8	4	1	001a	1	1
26	2016	240	17	11	54	751	0	1191.355742	0	0	0	f8	f0	8	4	1	001a	1	1
26	2016	240	17	11	55	751	0	1186.457583	0	0	0	f8	f0	8	4	1	001a	1	1
26	2016	240	17	11	56	751	0	1181.581608	0	0	0	f8	f0	8	4	1	001a	1	1
26	2016	240	17	11	57	751	0	1176.727519	0	0	0	f8	f0	8	4	1	001a	1	1
26	2016	240	17	11	58	751	0	1171.896513	0	0	0	f8	f0	8	4	1	001a	1	1
26	2016	240	17	11	59	751	0	1167.087692	0	0	0	f8	f0	8	4	1	001a	1	1
27	2016	240	17	12	0	751	0	1162.302255	0	0	0	f8	f0	8	4	1	001b	1	1
27	2016	240	17	12	1	751	0	1157.540802	0	0	0	f8	f0	8	4	1	001b	1	1
27	2016	240	17	12	2	751	0	1152.802582	0	0	0	f8	f0	8	4	1	001b	1	1
27	2016	240	17	12	3	751	0	1148.088645	0	0	0	f8	f0	8	4	1	001b	1	1
27	2016	240	17	12	4	751	0	1143.397942	0	0	0	f8	f0	8	4	1	001b	1	1
27	2016	240	17	12	5	751	0	1138.732722	0	0	0	f8	f0	8	4	1	001b	1	1
27	2016	240	17	12	6	751	0	1134.092235	0	0	0	f8	f0	8	4	1	001b	1	1
27	2016	240	17	12	7	751	0	1129.47693	0	0	0	f8	f0	8	4	1	001b	1	1
27	2016	240	17	12	8	751	0	1124.887257	0	0	0	f8	f0	8	4	1	001b	1	1
27	2016	240	17	12	9	751	0	1120.323517	0	0	0	f8	f0	8	4	1	001b	1	1
28	2016	240	17	12	10	751	0	1115.785858	0	0	0	f8	f0	8	4	1	001c	1	1
28	2016	240	17	12	11	751	0	1111.274881	0	0	0	f8	f0	8	4	1	001c	1	1
28	2016	240	17	12	12	751	0	1106.790735	0	0	0	f8	f0	8	4	1	001c	1	1
28	2016	240	17	12	13	751	0	1102.333421	0	0	0	f8	f0	8	4	1	001c	1	1
28	2016	240	17	12	14	751	0	1097.904137	0	0	0	f8	f0	8	4	1	001c	1	1
28	2016	240	17	12	15	751	0	1093.502434	0	0	0	f8	f0	8	4	1	001c	1	1
28	2016	240	17	12	16	751	0	1089.129512	0	0	0	f8	f0	8	4	1	001c	1	1
28	2016	240	17	12	17	751	0	1084.78462	0	0	0	f8	f0	8	4	1	001c	1	1
28	2016	240	17	12	18	751	0	1080.468508	0	0	0	f8	f0	8	4	1	001c	1	1
28	2016	240	17	12	19	751	0	1076.182075	0	0	0	f8	f0	8	4	1	001c	1	1
29	2016	240	17	12	20	751	0	1071.925022	0	0	0	f8	f0	8	4	1	001d	1	1
29	2016	240	17	12	21	751	0	1067.697799	0	0	0	f8	f0	8	4	1	001d	1	1
29	2016	240	17	12	22	751	0	1063.500704	0	0	0	f8	f0	8	4	1	001d	1	1
29	2016	240	17	12	23	751	0	1059.334788	0	0	0	f8	f0	8	4	1	001d	1	1
29	2016	240	17	12	24	751	0	1055.199751	0	0	0	f8	f0	8	4	1	001d	1	1
29	2016	240	17	12	25	751	0	1051.096192	0	0	0	f8	f0	8	4	1	001d	1	1
29	2016	240	17	12	26	751	0	1047.024261	0	0	0	f8	f0	8	4	1	001d	1	1
