Year,Day,hh,mm,ss,mss,ns,RangeRate(km/s)
2016,240,17,14,38,700,0,2.59387749
2016,240,17,14,39,700,0,2.64091448
2016,240,17,14,40,700,0,2.68755156
2016,240,17,14,41,700,0,2.73378832
2016,240,17,14,42,700,0,2.7796181
2016,240,17,14,43,700,0,2.82502038
2016,240,17,14,44,700,0,2.87000989
2016,240,17,14,45,700,0,2.91461761
2016,240,17,14,46,700,0,2.95880195
2016,240,17,14,47,700,0,3.0025486
2016,240,17,14,48,700,0,3.04586842
2016,240,17,14,49,700,0,3.08880338
2016,240,17,14,50,700,0,3.1313061
2016,240,17,14,51,700,0,3.17340671
2016,240,17,14,52,700,0,3.21506836
2016,240,17,14,53,700,0,3.25632662
2016,240,17,14,54,700,0,3.29714299
2016,240,17,14,55,700,0,3.33756277
2016,240,17,14,56,700,0,3.37755398
2016,240,17,14,57,700,0,3.41712488
2016,240,17,14,58,700,0,3.45630619
2016,240,17,14,59,700,0,3.49505426
2016,240,17,15,0,700,0,3.53339342
2016,240,17,15,1,700,0,3.57131394
2016,240,17,15,2,700,0,3.60882633
2016,240,17,15,3,700,0,3.64592841
2016,240,17,15,4,700,0,3.68263277
2016,240,17,15,5,700,0,3.7189304
2016,240,17,15,6,700,0,3.75481712
2016,240,17,15,7,700,0,3.79029685
2016,240,17,15,8,700,0,3.82540837
2016,240,17,15,9,700,0,3.86010371
2016,240,17,15,10,700,0,3.89441185
2016,240,17,15,11,700,0,3.92831739
2016,240,17,15,12,700,0,3.96181875
2016,240,17,15,13,700,0,3.99497821
2016,240,17,15,14,700,0,4.02772361
2016,240,17,15,15,700,0,4.06008748
2016,240,17,15,16,700,0,4.09208207
2016,240,17,15,17,700,0,4.12368266
2016,240,17,15,18,700,0,4.15493382
2016,240,17,15,19,700,0,4.18581224
2016,240,17,15,20,700,0,4.21631564
2016,240,17,15,21,700,0,4.24646103
2016,240,17,15,22,700,0,4.27624252
2016,240,17,15,23,700,0,4.30565427
2016,240,17,15,24,700,0,4.33474304
2016,240,17,15,25,700,0,4.36344667
2016,240,17,15,26,700,0,4.39183178
2016,240,17,15,27,700,0,4.41984548
2016,240,17,15,28,700,0,4.44753439
2016,240,17,15,29,700,0,4.47488554
2016,240,17,15,30,700,0,4.50190258
2016,240,17,15,31,700,0,4.52859897
2016,240,17,15,32,700,0,4.554944
2016,240,17,15,33,700,0,4.5809825
2016,240,17,15,34,700,0,4.60669209
2016,240,17,15,35,700,0,4.63208463
2016,240,17,15,36,700,0,4.65716024
2016,240,17,15,37,700,0,4.6819314
2016,240,17,15,38,700,0,4.70639383
2016,240,17,15,39,700,0,4.73054454
2016,240,17,15,40,700,0,4.75442516
2016,240,17,15,41,700,0,4.77796948
2016,240,17,15,42,700,0,4.80122859
2016,240,17,15,43,700,0,4.82421708
2016,240,17,15,44,700,0,4.84691823
2016,240,17,15,45,700,0,4.86932691
2016,240,17,15,46,700,0,4.89143259
2016,240,17,15,47,700,0,4.91330104
2016,240,17,15,48,700,0,4.93487588
2016,240,17,15,49,700,0,4.95616078
2016,240,17,15,50,700,0,4.97719691
2016,240,17,15,51,700,0,4.99798841
2016,240,17,15,52,700,0,5.0184931
2016,240,17,15,53,700,0,5.03874076
2016,240,17,15,54,700,0,5.05875931
2016,240,17,15,55,700,0,5.07850671
2016,240,17,15,56,700,0,5.09799128
2016,240,17,15,57,700,0,5.11725101
2016,240,17,15,58,700,0,5.13628641
2016,240,17,15,59,700,0,5.155047
2016,240,17,16,0,700,0,5.17357388
2016,240,17,16,1,700,0,5.19188997
2016,240,17,16,2,700,0,5.20995409
2016,240,17,16,3,700,0,5.22782674
