Year,Day,hh,mm,ss,mss,ns,Range (km)
2016,240,17,13,24,751,0,879.00437832
2016,240,17,13,25,751,0,877.51770752
2016,240,17,13,26,751,0,876.08589874
2016,240,17,13,27,751,0,874.70955156
2016,240,17,13,28,751,0,873.3883662
2016,240,17,13,29,751,0,872.12279234
2016,240,17,13,30,751,0,870.91342956
2016,240,17,13,31,751,0,869.75997808
2016,240,17,13,32,751,0,868.66333727
2016,240,17,13,33,751,0,867.62320734
2016,240,17,13,34,751,0,866.64003797
2016,240,17,13,35,751,0,865.71352938
2016,240,17,13,36,751,0,864.84398135
2016,240,17,13,37,751,0,864.03229327
2016,240,17,13,38,751,0,863.27846514
2016,240,17,13,39,751,0,862.58234705
2016,240,17,13,40,751,0,861.94408891
2016,240,17,13,41,751,0,861.36339092
2016,240,17,13,42,751,0,860.84085266
2016,240,17,13,43,751,0,860.37662404
2016,240,17,13,44,751,0,859.97040526
2016,240,17,13,45,751,0,859.6230957
2016,240,17,13,46,751,0,859.3327467
2016,240,17,13,47,751,0,859.10190651
2016,240,17,13,48,751,0,858.93042522
2016,240,17,13,49,751,0,858.81725357
2016,240,17,13,50,751,0,858.76254145
2016,240,17,13,51,751,0,858.76703833
2016,240,17,13,52,751,0,858.82984485
2016,240,17,13,53,751,0,858.9512608
2016,240,17,13,54,751,0,859.13128617
2016,240,17,13,55,751,0,859.36992097
2016,240,17,13,56,751,0,859.6668654
2016,240,17,13,57,751,0,860.02241925
2016,240,17,13,58,751,0,860.43613284
2016,240,17,13,59,751,0,860.90905545
2016,240,17,14,0,751,0,861.4395382
2016,240,17,14,1,751,0,862.02878028
2016,240,17,14,2,751,0,862.67693157
2016,240,17,14,3,751,0,863.38204343
2016,240,17,14,4,751,0,864.14441565
2016,240,17,14,5,751,0,864.96449792
2016,240,17,14,6,751,0,865.84259003
2016,240,17,14,7,751,0,866.77704312
2016,240,17,14,8,751,0,867.76845678
2016,240,17,14,9,751,0,868.8171308
2016,240,17,14,10,751,0,869.9223157
2016,240,17,14,11,751,0,871.08446116
2016,240,17,14,12,751,0,872.30236802
2016,240,17,14,13,751,0,873.57603628
2016,240,17,14,14,751,0,874.90531604
2016,240,17,14,15,751,0,876.2900574
2016,240,17,14,16,751,0,877.73056016
2016,240,17,14,17,751,0,879.22532536
2016,240,17,14,18,751,0,880.77495257
2016,240,17,14,19,751,0,882.37869233
2016,240,17,14,20,751,0,884.03624483
2016,240,17,14,21,751,0,885.74761007
2016,240,17,14,22,751,0,887.51263817
2016,240,17,14,23,751,0,889.33072953
2016,240,17,14,24,751,0,891.20143447
2016,240,17,14,25,751,0,893.12475298
2016,240,17,14,26,751,0,895.10053518
2016,240,17,14,27,751,0,897.12788168
2016,240,17,14,28,751,0,899.20619289
2016,240,17,14,29,751,0,901.33606841
2016,240,17,14,30,751,0,903.51660885
2016,240,17,14,31,751,0,905.74781422
2016,240,17,14,32,751,0,908.02848534
2016,240,17,14,33,751,0,910.35817254
2016,240,17,14,34,751,0,912.73717559
2016,240,17,14,35,751,0,915.16564439
2016,240,17,14,36,751,0,917.64267958
2016,240,17,14,37,751,0,920.16738176
2016,240,17,14,38,751,0,922.73975095
2016,240,17,14,39,751,0,925.35933745
2016,240,17,14,40,751,0,928.02599136
2016,240,17,14,41,751,0,930.73851352
2016,240,17,14,42,751,0,933.49720372
2016,240,17,14,43,751,0,936.30116258
