BkNo	Year	Day	hh	mm	ss	mss	ns	RangeRate(km/s)		Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
16	2016	240	17	7	46	700	0	-6.60247849	0	0	0	f8	f0	8	4	3	10	1	1
16	2016	240	17	7	47	700	0	-6.60138816	0	0	0	f8	f0	8	4	3	10	1	1
16	2016	240	17	7	48	700	0	-6.60025932	0	0	0	f8	f0	8	4	3	10	1	1
16	2016	240	17	7	49	700	0	-6.5991091	0	0	0	f8	f0	8	4	3	10	1	1
17	2016	240	17	7	50	700	0	-6.59794016	0	0	0	f8	f0	8	4	3	11	1	1
17	2016	240	17	7	51	700	0	-6.59676656	0	0	0	f8	f0	8	4	3	11	1	1
17	2016	240	17	7	52	700	0	-6.59559349	0	0	0	f8	f0	8	4	3	11	1	1
17	2016	240	17	7	53	700	0	-6.59437565	0	0	0	f8	f0	8	4	3	11	1	1
17	2016	240	17	7	54	700	0	-6.59312964	0	0	0	f8	f0	8	4	3	11	1	1
17	2016	240	17	7	55	700	0	-6.59190454	0	0	0	f8	f0	8	4	3	11	1	1
17	2016	240	17	7	56	700	0	-6.5906466	0	0	0	f8	f0	8	4	3	11	1	1
17	2016	240	17	7	57	700	0	-6.58937513	0	0	0	f8	f0	8	4	3	11	1	1
17	2016	240	17	7	58	700	0	-6.58807609	0	0	0	f8	f0	8	4	3	11	1	1
17	2016	240	17	7	59	700	0	-6.58675366	0	0	0	f8	f0	8	4	3	11	1	1
18	2016	240	17	8	0	700	0	-6.58544103	0	0	0	f8	f0	8	4	3	12	1	1
18	2016	240	17	8	1	700	0	-6.58411701	0	0	0	f8	f0	8	4	3	12	1	1
18	2016	240	17	8	2	700	0	-6.58273835	0	0	0	f8	f0	8	4	3	12	1	1
18	2016	240	17	8	3	700	0	-6.58135551	0	0	0	f8	f0	8	4	3	12	1	1
18	2016	240	17	8	4	700	0	-6.5799576	0	0	0	f8	f0	8	4	3	12	1	1
18	2016	240	17	8	5	700	0	-6.57854251	0	0	0	f8	f0	8	4	3	12	1	1
18	2016	240	17	8	6	700	0	-6.57709198	0	0	0	f8	f0	8	4	3	12	1	1
18	2016	240	17	8	7	700	0	-6.57564724	0	0	0	f8	f0	8	4	3	12	1	1
18	2016	240	17	8	8	700	0	-6.57420557	0	0	0	f8	f0	8	4	3	12	1	1
18	2016	240	17	8	9	700	0	-6.57268742	0	0	0	f8	f0	8	4	3	12	1	1
19	2016	240	17	8	10	700	0	-6.57118539	0	0	0	f8	f0	8	4	3	13	1	1
19	2016	240	17	8	11	700	0	-6.56965632	0	0	0	f8	f0	8	4	3	13	1	1
19	2016	240	17	8	12	700	0	-6.56810906	0	0	0	f8	f0	8	4	3	13	1	1
19	2016	240	17	8	13	700	0	-6.56655707	0	0	0	f8	f0	8	4	3	13	1	1
