BkNo,Year,Day,hh,mm,ss,mss,RANGE,Azimuth,Elev,range rate,Az rate,El rate
2016,2016,240,17,11,29,751,1320.202343,152.69,33.78,-5.37466924,-0.09,0.21
2016,2016,240,17,11,30,751,1314.835459,152.6,33.99,-5.35874023,-0.1,0.22
2016,2016,240,17,11,31,751,1309.485662,152.5,34.21,-5.3426223,-0.09,0.22
2016,2016,240,17,11,32,751,1304.150856,152.41,34.43,-5.32630445,-0.11,0.22
2016,2016,240,17,11,33,751,1298.833587,152.3,34.65,-5.30975556,-0.1,0.22
2016,2016,240,17,11,34,751,1293.531907,152.2,34.87,-5.29301254,-0.1,0.23
2016,2016,240,17,11,35,751,1288.247315,152.1,35.1,-5.27605927,-0.11,0.23
2016,2016,240,17,11,36,751,1282.981011,151.99,35.33,-5.25889309,-0.09,0.23
2016,2016,240,17,11,37,751,1277.731195,151.9,35.56,-5.24150161,-0.12,0.24
2016,2016,240,17,11,38,751,1272.498318,151.78,35.8,-5.22389095,-0.1,0.22
2016,2016,240,17,11,39,751,1267.284028,151.68,36.02,-5.20605758,-0.11,0.23
2016,2016,240,17,11,40,751,1262.087725,151.57,36.25,-5.18798319,-0.13,0.23
2016,2016,240,17,11,41,751,1256.90911,151.44,36.48,-5.16970381,-0.11,0.23
2016,2016,240,17,11,42,751,1251.749232,151.33,36.71,-5.15116568,-0.12,0.22
2016,2016,240,17,11,43,751,1246.608691,151.21,36.93,-5.13241211,-0.12,0.23
2016,2016,240,17,11,44,751,1241.486137,151.09,37.16,-5.11341758,-0.11,0.25
2016,2016,240,17,11,45,751,1236.38292,150.98,37.41,-5.09415763,-0.12,0.24
2016,2016,240,17,11,46,751,1231.29919,150.86,37.65,-5.07467698,-0.13,0.24
2016,2016,240,17,11,47,751,1226.234796,150.73,37.89,-5.05492985,-0.12,0.25
2016,2016,240,17,11,48,751,1221.190188,150.61,38.14,-5.03494543,-0.12,0.25
2016,2016,240,17,11,49,751,1216.166566,150.49,38.39,-5.01470545,-0.13,0.25
2016,2016,240,17,11,50,751,1211.16258,150.36,38.64,-4.99421092,-0.13,0.24
2016,2016,240,17,11,51,751,1206.17898,150.23,38.88,-4.97345465,-0.13,0.24
2016,2016,240,17,11,52,751,1201.216665,150.1,39.12,-4.95242144,-0.13,0.25
2016,2016,240,17,11,53,751,1196.275336,149.97,39.37,-4.93112855,-0.14,0.24
2016,2016,240,17,11,54,751,1191.355742,149.83,39.61,-4.90956086,-0.15,0.26
